zpid,price,priceLabel,beds,baths,area,latLong,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,variableData,hdpData,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,hasAdditionalAttributions,isFeaturedListing,availabilityDate,buildingId,lotId,minBeds,minBaths,minArea,unitCount,isBuilding,badgeInfo,canSaveBuilding,plid,communityName,style,isCdpResult,isPropertyResultCDP,lotAreaString,streetViewMetadataURL,streetViewURL
25667740,"$496,000",$496K,2.0,2.0,827.0,"{'latitude': 33.649487, 'longitude': -117.58512}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/9aea6a9c98305e7dfb39ed965462b218-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25667740, 'zipcode': '92688', 'city': 'Rancho Santa Margarita', 'state': 'CA', 'latitude': 33.649487, 'longitude': -117.58512, 'price': 496000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 827.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 505800, 'rentZestimate': 2295, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 496000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 311437.0}}",/homedetails/240-Montana-Del-Lago-Dr-Rancho-Santa-Margarita-CA-92688/25667740_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
,"From $324,900",,,,,"{'latitude': 33.819157, 'longitude': -117.917404}",FOR_SALE,For Rent,False,,,https://photos.zillowstatic.com/fp/91a99c26eeeca77f036b9d9e70fdb591-p_e.jpg,True,,,"{'type': '3D_HOME', 'text': '3D Tour'}",,/b/954-s-citron-st-anaheim-ca-9V99kB/,,,True,,,"954 S Citron St, Anaheim, CA",False,False,,33.819157--117.917404,2116524089.0,2.0,1.0,824.0,3.0,True,,False,,,,,,,,
25537846,"$986,900",$987K,4.0,3.0,2152.0,"{'latitude': 33.609108, 'longitude': -117.69471}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/78f835e43d4ac37be1fa34f70e2a2d6c-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25537846, 'zipcode': '92630', 'city': 'Lake Forest', 'state': 'CA', 'latitude': 33.609108, 'longitude': -117.69471, 'price': 986900.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2152.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1074400, 'rentZestimate': 4500, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 986900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 490937.0, 'lotAreaValue': 7840.8, 'lotAreaUnit': 'sqft'}}",/homedetails/24331-Grass-St-Lake-Forest-CA-92630/25537846_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25535601,"$899,900",$900K,3.0,2.0,1612.0,"{'latitude': 33.630627, 'longitude': -117.69868}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/278a6ad5c7af43fb76a0e314b15365db-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25535601, 'zipcode': '92630', 'city': 'Lake Forest', 'state': 'CA', 'latitude': 33.630627, 'longitude': -117.69868, 'price': 899900.0, 'datePriceChanged': 1640937600000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1612.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 943600, 'rentZestimate': 3695, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$30,000 (Dec 31)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 899900.0, 'priceChange': -30000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 439984.0, 'lotAreaValue': 7405.2, 'lotAreaUnit': 'sqft'}}",/homedetails/24685-Calle-El-Toro-Grande-Lake-Forest-CA-92630/25535601_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25689132,"$529,900",$530K,2.0,3.0,1136.0,"{'latitude': 33.86876, 'longitude': -117.83169}",FOR_SALE,Townhouse for sale,False,False,False,https://photos.zillowstatic.com/fp/2b5f0243e9c88249fa8639d1bc8ff669-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25689132, 'zipcode': '92870', 'city': 'Placentia', 'state': 'CA', 'latitude': 33.86876, 'longitude': -117.83169, 'price': 529900.0, 'datePriceChanged': 1640246400000, 'bathrooms': 3.0, 'bedrooms': 2.0, 'livingArea': 1136.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 557500, 'rentZestimate': 2713, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$14,000 (Dec 23)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 529900.0, 'priceChange': -14000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 396713.0, 'unit': 'Unit G'}}",/homedetails/339-S-Van-Buren-St-UNIT-G-Placentia-CA-92870/25689132_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25538934,"$941,000",$941K,3.0,2.0,1408.0,"{'latitude': 33.612514, 'longitude': -117.694534}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/a27091b28fb1102dcd4f759b27bcf4bc-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25538934, 'zipcode': '92691', 'city': 'Mission Viejo', 'state': 'CA', 'latitude': 33.612514, 'longitude': -117.694534, 'price': 941000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1408.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1028900, 'rentZestimate': 3599, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 941000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 737138.0, 'lotAreaValue': 7405.2, 'lotAreaUnit': 'sqft'}}",/homedetails/24951-Tree-Ave-Mission-Viejo-CA-92691/25538934_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25698800,"$680,900",$681K,2.0,3.0,1207.0,"{'latitude': 33.53435, 'longitude': -117.71528}",FOR_SALE,Townhouse for sale,False,False,False,https://photos.zillowstatic.com/fp/139c699a75c49efebd2f51dee3ff7127-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25698800, 'zipcode': '92677', 'city': 'Laguna Niguel', 'state': 'CA', 'latitude': 33.53435, 'longitude': -117.71528, 'price': 680900.0, 'bathrooms': 3.0, 'bedrooms': 2.0, 'livingArea': 1207.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 734500, 'rentZestimate': 3200, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 680900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 400447.0, 'lotAreaValue': 871.2, 'lotAreaUnit': 'sqft'}}",/homedetails/23706-Surf-Cv-Laguna-Niguel-CA-92677/25698800_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25724786,"$508,200",$508K,2.0,2.0,1000.0,"{'latitude': 33.82322, 'longitude': -118.009476}",FOR_SALE,Condo for sale,False,False,False,https://photos.zillowstatic.com/fp/1f5727e3bb22311f9109899422f1a000-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25724786, 'zipcode': '92804', 'city': 'Anaheim', 'state': 'CA', 'latitude': 33.82322, 'longitude': -118.009476, 'price': 508200.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1000.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 496800, 'rentZestimate': 2199, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 508200.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 177482.0, 'unit': 'Apt 40', 'lotAreaValue': 871.2, 'lotAreaUnit': 'sqft'}}",/homedetails/630-S-Knott-Ave-APT-40-Anaheim-CA-92804/25724786_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25359462,"$912,900",$913K,3.0,2.0,1633.0,"{'latitude': 33.900486, 'longitude': -117.92017}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/ca68b59ccab699b260d30adedec4ef08-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25359462, 'zipcode': '92835', 'city': 'Fullerton', 'state': 'CA', 'latitude': 33.900486, 'longitude': -117.92017, 'price': 912900.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1633.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 943700, 'rentZestimate': 3399, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 912900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 314197.0, 'lotAreaValue': 5227.2, 'lotAreaUnit': 'sqft'}}",/homedetails/628-Augusta-Ct-Fullerton-CA-92835/25359462_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,,,,
25699824,"$664,900",$665K,2.0,2.0,1149.0,"{'latitude': 33.670788, 'longitude': -117.98513}",FOR_SALE,Condo for sale,False,False,False,https://photos.zillowstatic.com/fp/6a344b8770a21cd83b975266e9adc6a9-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 25699824, 'zipcode': '92646', 'city': 'Huntington Beach', 'state': 'CA', 'latitude': 33.670788, 'longitude': -117.98513, 'price': 664900.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1149.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 688210, 'rentZestimate': 2974, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 664900.0, 'videoCount': 1, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': True, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 545594.0, 'unit': 'Unit 103', 'lotAreaValue': 1306.8, 'lotAreaUnit': 'sqft'}}",/homedetails/8191-Sandcove-Cir-UNIT-103-Huntington-Beach-CA-92646/25699824_zpid/,ForSale,For Sale by Agent,True,True,False,--,False,False,,,,,,,,,,,,,,,,,,
